x 0 50 100 150 200 250 300 350 400 450 500 550 600 650 700 750 800

clrP=?[trueU<=time(l_1>=5&l_2>=5&l_3>=5),l_1=5&l_2<5&l_3<5] 0.0 0.03701162242161171 0.1827447265228262 0.3841552461808995 0.5712811378543008 0.7157458650107391 0.8170001069085219 0.8842604993685248 0.927581845184966 0.9549829794205925 0.9721280710351444 0.9827861525686322 0.9893853284368633 0.9934612870975585 0.9959748710560475 0.9975233937574174 0.9984767283392303

base_rate*clraR{"time"}=?[F(l_1>=5&l_2>=5&l_3>=5),l_1=5&l_2<5&l_3<5] 204.90774080526973
